date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant,neg_sent_score,neu_sent_score,pos_sent_score,compound_sent_score,sent_class,query_location
2022-03-07,08:02:44,The coyote spirit animal makes its presence known when you feel like you have lost your way.,1500743739345555459,[],54441621,Half8n,"Everywhere, CA",18106,False,,,0.0,0.112,0.683,0.205,0.2263,positive,fresno
2022-03-07,07:58:17,"If you see a coyote during the day, it is a spiritual message that you need to take your life plans more seriously. You’re right in front of the new beginning and new life events will occur sooner than you think.",1500742617146937344,[],54441621,Half8n,"Everywhere, CA",18106,False,,,0.0,0.047,0.953,0.0,-0.2484,negative,fresno
2022-03-07,03:08:18,"@human_grateful @BlueSunSystems @ellle_em I live in coastal Southern California, and still watched a coyote eating a cat in my front yard, so",1500669643098263553,[],27476490,brew_askew,Southern California,99,False,,,1.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-07,03:06:18,"@BlueSunSystems @ellle_em Once you've heard the crunching of cat bones when a coyote is eating a cat head first, you never forget it",1500669139806932994,[],27476490,brew_askew,Southern California,99,False,,,1.0,0.0,0.93,0.07,0.1695,positive,fresno
2022-03-07,03:05:03,"@seanf730 @TourOfTheFuture @jdawsey1 Great idea, but it will never work - I watched Wil E Coyote try it over and over, it just doesn't work",1500668825322209283,[],1133935250814324737,JDS20251957,Northern California ,15,False,,,0.0,0.0,0.904,0.096,0.3716,positive,fresno
2022-03-07,01:01:55,"@SwampFox_2 One of my old bosses had a coyote, it never stopped moving.",1500637838290800641,[],2527515936,SoCaPaul,"Southern, California",6916,True,,,0.0,0.0,0.878,0.122,0.1695,positive,fresno
2022-03-06,19:46:44,@ROBaoighill The council expect us to go exclusively to the dump that is Coyotes like no thanks,1500558520474816516,[],789134096937123840,Rachelconcanno,"Sunnydale, California",250,True,,,0.0,0.233,0.651,0.116,-0.3624,negative,fresno
2022-03-06,17:35:55,@ellle_em When I saw that my new neighbor was letting their cat out I warned them about the coyotes in our area. They didn't listen. You can guess the outcome. So they got a new cat...and let it run. Stupid? Cruel? Stupid and cruel?,1500525595989405699,[],1263144559732645888,BreeintheDesert,Southern California ,671,False,,,1.0,0.304,0.696,0.0,-0.952,negative,fresno
2022-03-06,13:32:30,@BeschlossDC @s_sharky214 @jdawsey1 Thank God Wile E. Coyote is no longer in charge of our military... https://t.co/V8ykp0nfCF,1500464339882430466,[],3146485272,SisBoomBahaha,"Sierra Nevada Mountains, CA",1032,False,,,0.0,0.106,0.673,0.221,0.34,positive,fresno
2022-03-06,05:36:48,In my neighborhood the coyotes are yelping wildly tonight. Have no idea what’s setting them off.,1500344625730445312,[],18708762,AnthonyLawlor,Northern California,2600,False,,,1.0,0.128,0.872,0.0,-0.296,negative,fresno
2022-03-06,04:58:53,The coyote is still in the field. I can hear him.,1500335085194649600,[],54441621,Half8n,"Everywhere, CA",18106,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-06,04:11:14,Coyotes scored 8. Sharks 0. How???,1500323091678855169,[],2393809118,baeareasuzy,Southern California,92,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-06,03:40:23,Coyotes' Nick Schmaltz sets franchise record with seven-point game #Yardbarker #NHL https://t.co/pvO4v2Dy3k,1500315329884397568,"['Yardbarker', 'NHL']",340070780,x3tko,"Bay Area, CA",1473,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-06,03:04:20,"When your cat sits up from a dead sleep and stares at something, you have to pay attention. It could be a coyote, a rat, a zombie, or a ghost. https://t.co/xeTQEvbTP0",1500306255738404866,[],36072583,juliaparktracey,"Gold Country, California",8590,True,,,0.0,0.222,0.778,0.0,-0.7906,negative,fresno
2022-03-06,00:30:51,"Schmaltz gets 2 goals and 5 assists, Coyotes beat Ottawa 8-5 #YahooSports #NHL https://t.co/QxOD9V9dFc",1500267629080023045,"['YahooSports', 'NHL']",340070780,x3tko,"Bay Area, CA",1473,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-05,23:16:29,"@AnttiNiemi37 @Breaking911 Or Coyotes fan. Say you've got brain damage from getting hit in the head by a 120 MPH hockey puck. You know, without saying it.",1500248915618111489,[],1396266441612009472,TheBobHarvey1,Southern California,28,True,,,0.0,0.105,0.82,0.075,-0.2263,negative,fresno
2022-03-05,22:19:23,@thebluebadger @Chicane_Coyote To the BadgeMobile! https://t.co/CP52MxhAaF,1500234548084236288,[],1361875704414019585,___Atreyu___,"Yosemite, California",231,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-05,21:46:37,Dylan Strome just scored a beauty in Philly. Good to see players doing well after their time with the semi-pro Coyotes.,1500226299326914561,[],2822009070,mykeontheradio,Southern California,350,True,,,0.0,0.0,0.672,0.328,0.8316,positive,fresno
2022-03-05,19:22:08,"Not only do I despise leafblowers with a passion usually reserved for stubbed toes and coyote haters, but regularly sweeping the sidewalk is an enjoyable and inherently therapeutic activity for me -- even moreso when my efforts include the removal of two infernal cigarette butts. https://t.co/4ZhgMQkiMn",1500189941829025793,[],4547821,wildbell,Southern California,939,False,,,0.0,0.074,0.813,0.113,0.4678,positive,fresno
2022-03-05,19:16:44,Coyotes sign center Boyd to two-year contract #ESPN #NHL https://t.co/tohyp2ueB4,1500188580483723266,"['ESPN', 'NHL']",340070780,x3tko,"Bay Area, CA",1473,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-05,14:51:45,Running with the coyotes this morning https://t.co/MUba2RUsWZ,1500121896280489986,[],1584035035,1962Kiser,Southern California,1760,True,,,1.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-05,03:13:06,"The Wildcats are almost 100% guaranteed an NCAA tournament spot, but their chances of hosting the West Regionals are slim unless the San Bernardino Coyotes lose in their respective semifinal game.",1499946075729240066,[],1431677151347048448,jhm1226,"Chico, CA",87,True,,,0.0,0.095,0.748,0.158,0.3291,positive,fresno
2022-03-04,23:59:27,@Tongues_Ton @BreezyyThe i was thinking of the pose in the second image here https://t.co/w2JZ0zLRME,1499897340181696514,[],1068004940096794624,Citrus_Coyote,Southern California ,170,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-04,22:27:08,"@SushiOtter *gasp*

how did you know?

are you a wizard?",1499874107344646145,[],1068004940096794624,Citrus_Coyote,Southern California ,170,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-04,20:40:45,"@mrsmiis @SenpaiGeeze @OMagicDaily @savg_coyote @FrobesBurner I’m an upset Magic Organization fan…I will always love the team, I’ve been committed since Day 1 and I’m from Cali.  Year after year of disappointment gets heavy",1499847338214379520,[],1223623185037287425,djcerv80,"Visalia, CA",54,True,,,0.0,0.143,0.704,0.153,0.1027,positive,fresno
2022-03-04,20:32:46,"@Grimmy_Coyote yeah they always have names like pecs4pecs4pecs and some profile like ""just havin some fun!"", and have 83827 woofs or whatever",1499845327368515584,[],731927372488839169,Glimmerstomp,"Bay Area, CA",4139,False,,,0.0,0.0,0.625,0.375,0.8687,positive,fresno
2022-03-04,17:23:31,@SenpaiGeeze @OMagicDaily @savg_coyote @FrobesBurner 😂😂😂Depends on the day brother…we do not have any consistency on the team other than Isaac injured for the past 2 years,1499797699117215746,[],1223623185037287425,djcerv80,"Visalia, CA",54,True,,,0.0,0.168,0.68,0.152,0.296,positive,fresno
2022-03-04,02:39:52,@CaltransDist3 @CountyElDorado @CHP_Truckee @CaltransDist10 10$ says there’s a coyote under that rock,1499575322731106306,[],761021805775560705,BP_Cali,Northern CA,203,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-03,17:22:05,Nigga eating Wile E. Coyote https://t.co/bzRI7Qvn1y,1499434954421583872,[],47036597,Miserable_PhD,"Bay Area, CA",590,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-03,17:08:25,@RedstoneCo2 understandable,1499431514345328640,[],1068004940096794624,Citrus_Coyote,Southern California ,170,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-03,05:32:45,@Doc_Coyote @JacobDavison_ We bought and have not used archive  tape to seal some stuff,1499256443114975233,[],533396375,casadeshwang,Southern California,253,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-03,03:54:41,"@TylerLoesch Lol don’t be toxic 😂💀 nah she was a good dog owner, her mom just accidentally left the backyard gate open time and he ran away and never came back. He was a small little cute breed so someone probably kept him or a coyote ate him 🥲",1499231762328666112,[],953399369163837440,couldbeedithh,"Bay Area, CA",264,True,,,1.0,0.088,0.724,0.188,0.818,positive,fresno
