"","id","county","x.cen","y.cen","xmin","xmax","ymin","ymax","sqkm","inclusion","ppt"
"3270",3270,"SAN BERNARDINO",221023.41877722,-364929.12721212,-117.641654280865,-117.529687810949,34.6605614055062,34.7529145880306,100,1,200.839600982666
"3271",3271,"SAN BERNARDINO",231023.41877722,-364929.12721212,-117.532531646069,-117.420446076515,34.6581651139599,34.750619505906,100,1,178.278599243164
"3272",3272,"SAN BERNARDINO",241023.41877722,-364929.12721212,-117.423415549927,-117.311211192809,34.6556651698729,34.7482206518497,100,1,128.222499923706
"3273",3273,"SAN BERNARDINO",251023.41877722,-364929.12721212,-117.314306280892,-117.201983449172,34.6530615824491,34.7457180347352,100,1,156.306779140896
"3274",3274,"SAN BERNARDINO",261023.41877722,-364929.12721212,-117.205204127312,-117.092763134833,34.6503543612722,34.7431116638176,100,1,171.292499847412
"3275",3275,"SAN BERNARDINO",271023.41877722,-364929.12721212,-117.096109377418,-116.983550538901,34.6475435163047,34.7404015487337,100,1,197.205200195312
"3276",3276,"SAN BERNARDINO",281023.41877722,-364929.12721212,-116.987022319329,-116.874345950364,34.6446290578879,34.7375876995012,100,1,232.131399993896
"3277",3277,"SAN BERNARDINO",291023.41877722,-364929.12721212,-116.877943241035,-116.765149658082,34.6416109967418,34.734670126519,100,1,246.654888746474
"3278",3278,"SAN BERNARDINO",301023.41877722,-364929.12721212,-116.768872430406,-116.655961950781,34.6384893439639,34.7316488405663,100,1,224.260499725342
"3279",3279,"SAN BERNARDINO",311023.41877722,-364929.12721212,-116.659810175176,-116.546783117054,34.6352641110301,34.7285238528024,100,1,226.311099090576
"3280",3280,"SAN BERNARDINO",321023.41877722,-364929.12721212,-116.550756762945,-116.437613445351,34.6319353097931,34.7252951747664,100,1,185.30390007019
"3281",3281,"SAN BERNARDINO",331023.41877722,-364929.12721212,-116.441712481174,-116.328453223976,34.6285029524829,34.7219628183773,100,1,128.998500137329
